match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
226391,New Zealand,Sri Lanka,2006-01-03,2006,Jade Stadium,New Zealand,field,New Zealand,
226392,New Zealand,Sri Lanka,2006-01-06,2006,Westpac Stadium,New Zealand,bat,New Zealand,
226375,Australia,South Africa,2006-01-15,2006,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,South Africa,
226383,South Africa,Sri Lanka,2006-01-17,2006,"Brisbane Cricket Ground, Woolloongabba",South Africa,field,Sri Lanka,
226376,Australia,South Africa,2006-01-20,2006,Docklands Stadium,Australia,bat,Australia,
226380,Australia,Sri Lanka,2006-01-22,2006,Sydney Cricket Ground,Sri Lanka,bat,Sri Lanka,
226384,South Africa,Sri Lanka,2006-01-24,2006,Adelaide Oval,South Africa,bat,South Africa,
226381,Australia,Sri Lanka,2006-01-26,2006,Adelaide Oval,Sri Lanka,bat,Australia,
226382,Australia,Sri Lanka,2006-01-29,2006,Western Australia Cricket Association Ground,Sri Lanka,bat,Australia,
226385,South Africa,Sri Lanka,2006-01-31,2006,Western Australia Cricket Association Ground,Sri Lanka,bat,South Africa,
226377,Australia,South Africa,2006-02-03,2006,Docklands Stadium,Australia,bat,Australia,
226378,Australia,South Africa,2006-02-05,2006,Sydney Cricket Ground,Australia,bat,Australia,
235831,Pakistan,India,2006-02-06,2006,Arbab Niaz Stadium,Pakistan,field,Pakistan,y
226386,South Africa,Sri Lanka,2006-02-07,2006,Bellerive Oval,Sri Lanka,bat,Sri Lanka,
236358,Australia,Sri Lanka,2006-02-10,2006,Adelaide Oval,Sri Lanka,bat,Sri Lanka,
236520,Pakistan,India,2006-02-11,2006,Rawalpindi Cricket Stadium,Pakistan,bat,India,
236595,Australia,Sri Lanka,2006-02-12,2006,Sydney Cricket Ground,Australia,bat,Australia,
236809,Pakistan,India,2006-02-13,2006,Gaddafi Stadium,India,field,India,
236963,Australia,Sri Lanka,2006-02-14,2006,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia,
237222,Pakistan,India,2006-02-16,2006,Multan Cricket Stadium,India,field,India,
237568,New Zealand,West Indies,2006-02-18,2006,Westpac Stadium,New Zealand,bat,New Zealand,
237571,Pakistan,India,2006-02-19,2006,National Stadium,India,field,India,
237574,Bangladesh,Sri Lanka,2006-02-20,2006,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka,
238176,New Zealand,West Indies,2006-02-22,2006,Queenstown Events Centre,New Zealand,field,New Zealand,
238169,Bangladesh,Sri Lanka,2006-02-22,2006,Shaheed Chandu Stadium,Bangladesh,field,Bangladesh,
238177,New Zealand,West Indies,2006-02-25,2006,Jade Stadium,New Zealand,bat,New Zealand,
238170,Bangladesh,Sri Lanka,2006-02-25,2006,Chittagong Divisional Stadium,Bangladesh,field,Sri Lanka,
238196,South Africa,Australia,2006-02-26,2006,SuperSport Park,Australia,bat,South Africa,y
238178,New Zealand,West Indies,2006-03-01,2006,McLean Park,West Indies,field,New Zealand,
238197,South Africa,Australia,2006-03-03,2006,Newlands,South Africa,bat,South Africa,
